43,(1,3,2,2,3,13,13,10,9,8),(41,41,42,42,44,45,45,45,45,45),(27),(31,26,24),(28,25),(30,29),(10,9,8),(54,53,52,50,48,46,44,42,41,11,6,3,0),(55,51,49,43,40,15,14,13,12,7,5,4,2),(62,61,60,59,56,47,45,17,16,1),(58,57,36,35,34,32,22,19,18),(63,39,38,37,33,23,21,20)
44,(2,6,3,4,5,12,3,14,10,5),(37,38,39,39,40,40,41,41,41,41),(31,30),(62,58,24,14,13,12),(63,54,26),(56,50,27,10),(53,51,28,25,8),(61,60,59,57,55,52,49,48,29,15,11,9),(19,3,2),(45,39,38,37,35,22,21,20,18,17,7,6,5,4),(46,43,42,41,36,34,32,23,16,1),(47,44,40,33,0)
45,(2,5,1,1,11,7,6,2,10,19),(11,11,11,12,12,12,12,12,12,12),(63,59),(61,60,58,57,56),(62),(39),(38,36,35,34,33,32,15,7,4,3,0),(22,14,11,10,5,2,1),(37,13,12,9,8,6),(46,26),(53,51,50,44,43,41,28,27,25,16),(55,54,52,49,48,47,45,42,40,31,30,29,24,23,21,20,19,18,17)
46,(3,11,8,5,4,15,2,4,6,6),(39,39,39,39,40,40,40,40,41,41),(7,6,4),(55,54,53,51,31,30,27,26,5,1,0),(50,49,29,28,25,24,3,2),(52,48,45,23,19),(44,42,32,22),(46,43,40,39,38,37,36,35,34,33,21,20,18,17,16),(47,41),(59,58,57,56),(63,62,60,15,13,12),(61,14,11,10,9,8)
47,(3,6,7,2,4,4,6,8,10,14),(42,42,43,44,44,44,45,45,46,46),(4,3,2),(36,33,32,22,1,0),(42,39,37,35,23,20,18),(41,34),(43,21,17,6),(44,40,19,16),(47,46,45,38,7,5),(63,62,61,60,59,58,57,56),(54,49,28,15,14,13,11,10,9,8),(55,53,52,51,50,48,31,30,29,27,26,25,24,12)
48,(2,7,2,9,10,11,10,8,3,2),(39,39,40,40,40,40,40,40,40,40),(1,0),(22,21,20,19,18,17,16),(37,2),(45,44,41,40,13,12,9,6,3),(60,57,56,49,42,23,14,8,5,4),(63,62,61,59,48,47,46,43,15,11,7),(58,53,52,51,50,38,32,26,25,10),(55,54,36,34,33,30,28,27),(35,29,24),(39,31)
49,(1,1,1,1,3,9,8,9,16,15),(29,29,30,30,30,30,33,33,33,33),(44),(40),(47),(41),(45,43,25),(46,42,31,30,29,28,27,26,24),(59,57,54,53,52,51,50,49),(63,62,61,60,58,56,55,48,3),(37,36,35,34,32,23,17,10,8,7,6,5,4,2,1,0),(39,38,33,22,21,20,19,18,16,15,14,13,12,11,9)
50,(1,3,12,10,6,6,12,7,4,3),(26,27,27,27,27,27,27,27,27,27),(11),(7,4,3),(27,23,22,20,19,18,15,12,10,6,1,0),(31,30,28,25,24,21,17,8,5,2),(29,26,16,14,13,9),(62,55,53,50,48,35),(63,59,58,54,51,39,38,37,36,34,33,32),(61,57,56,52,49,47,45),(60,46,44,41),(43,42,40)
51,(1,7,19,12,4,2,2,9,2,6),(41,41,41,41,41,41,42,42,42,42),(20),(23,22,21,19,18,16,3),(52,50,49,48,39,38,37,31,30,29,28,27,26,25,24,7,4,2,1),(56,55,54,53,51,36,34,33,17,6,5,0),(60,58,35,32),(63,61),(62,59),(57,47,46,45,44,43,42,41,40),(15,11),(14,13,12,10,9,8)
52,(8,5,5,7,8,11,12,2,4,2),(37,37,38,38,38,38,38,38,38,38),(39,38,37,35,34,33,32,9),(36,15,13,10,8),(23,21,16,14,11),(63,53,30,20,19,18,12),(59,54,52,31,29,27,22,17),(61,58,50,49,48,47,41,40,28,25,24),(62,60,57,56,55,51,46,45,44,43,42,26),(7,6),(5,4,2,0),(3,1)
53,(1,2,17,12,5,8,9,4,4,2),(42,43,43,43,44,44,44,44,44,44),(48),(16,8),(54,53,52,50,49,20,19,18,17,15,14,12,11,10,9,1,0),(55,51,23,22,21,13,7,6,5,4,3,2),(39,35,30,28,24),(47,46,41,36,29,27,26,25),(45,43,42,40,38,37,34,32,31),(61,58,44,33),(62,59,57,56),(63,60)
